dataSet,Input,instructionCount,ilp32,ilp256,ilp2048,ilp65536,memops,ctrlops,intops,flops,coldref,coldref fraction,reuseDist2,resuseDist2 fraction,sfp,dfp,noconflict,broadCast,coalesced,shMemBw,gMemBw,blocks,pages,lipRate,mulf,divf,specialFn,lbdiv16,lbdiv32,lbdiv64,lbdiv128,lbdiv256,lbdiv512,lbdiv1024,probsize,Class,CPU Time,GPU Time
atax_32768: 49-63,32768,4938068783,5.749985955,7.667745243,7.677715107,8.048079145,0.782606792,0.086958743,0.8260851678,0.2173892271,3356780,0.0008686046,2361681505,0.6111116751,0.3999987793,0,0.185520905,0.814479095,1,0.185520905,1,1023.350111,32745.44766,0.7411370637,0.1999993897,0,0,0.000000648,0.0000013,0.00000259,0.00000518,0.0000104,0.0000207,0.000041475,297,1,43.58442,42.563167
atax_16384: 49-63,16384,1234532765,5.749971911,7.668824087,7.688795076,8.469414149,0.7826048886,0.0869609645,0.8260833782,0.2173871489,839735,0.0008691547,590426929,0.6111122367,0.3999975586,0,0.187436997,0.812563003,1,0.187436997,1,1022.698623,32722.30333,0.7322744593,0.1999987793,0,0,0.00000259,0.00000518,0.0000104,0.0000207,0.0000415,0.000083,0.0001659028,148,1,6.943578,6.684152
atax_8192: 49-63,8192,308640980,5.749943824,7.670982582,7.71105014,9.459855047,0.7826010823,0.0869654088,0.8260797967,0.2173829898,210206,0.0008702641,147610008,0.6111133488,0.3999951172,0,0.1874449974,0.8125550026,1,0.1874449974,1,1021.395737,32669.27739,0.7145502462,0.1999975586,0,0,0.0000104,0.0000207,0.000041474,0.000083,0.0001659088,0.0003318176,0.0006636351,74,1,1.508198,1.472688
v_smul_200000: 23-31,200000,68000220010,5.666609092,5.667001483,5.67000589,5.777944026,0.8235285121,0.1176478547,0.8823521453,0,12502,2.232495216E-07,36000080001,0.6428571938,0,0,0.3333373335,0.6666626665,1,0.3333373335,1,2559731.229,81632789.12,0.9951859813,0,0,0,0,0,0,0,0,0,0,1818,1,90.566129,58.273253
v_smul_100000: 23-31,100000,17000110010,5.666551519,5.667336335,5.673349018,5.89367813,0.8235276125,0.1176486506,0.8823513493,0,6253,4.466409427E-07,9000040001,0.6428572446,0,0,0.3333373335,0.6666626665,1,0.3333373335,1,1279731.258,40678101.71,0.990372107,0,0,0,0,0,0,0,0,0,0,909,1,23.889988,15.040647
v_smul_50000: 23-31,50000,4250055010,5.666632122,5.668143589,5.680150536,6.139793497,0.8235258131,0.1176502424,0.8823497572,0,3129,0.000000894,1500020000,0.4285734684,0,0,0.3332306634,0.6666653333,0.9998959967,0.3332306634,0.9999479983,639663.1136,20134362.44,0.9807604897,0,0,0,0,0,0,0,0,0,0,454,1,5.961254,5.994561
v_ssum_100000: 27-35,100000,17000110010,5.666551519,5.667336335,5.673349018,5.89367813,0.8235276125,0.1176486506,0.8823513493,0,6253,4.466409427E-07,9000040001,0.6428572446,0,0,0.3333373335,0.6666626665,1,0.3333373335,1,1279731.258,40678101.71,0.990372107,0,0,0,0,0,0,0,0,0,0,909,1,22.717809,15.0397
v_ssum_50000: 27-35,50000,4250055010,5.666632122,5.668143589,5.680150536,6.139793497,0.8235258131,0.1176502424,0.8823497572,0,3128,8.937066234E-07,2250020001,0.6428573458,0,0,0.3332306634,0.6666653333,0.9998959967,0.3332306634,0.9999479983,639663.1136,20270405.43,0.9807604897,0,0,0,0,0,0,0,0,0,0,454,1,5.600589,5.993396
min_max_red:262144: 27-40,262144,137437144683,2.857152341,2.85716324,2.857252277,2.860401012,0.849999361,0.1000005531,0.7499997616,0.0499998951,32772,2.805305887E-07,68718533017,0.5882353997,0,1,0,0.7261890476,0.7261890476,0.1369054762,0.8630945238,2935612.849,93585510,0.9997164243,0,0,0,0,0,0,0,0,0,0,2383,1,169.931417,119.958813
min_max_red:131072: 27-40,131072,34359358266,2.857161825,2.857183623,2.857361705,2.863666585,0.8499987221,0.1000011063,0.7499995231,0.0499997902,16388,5.611289023E-07,17179659469,0.5882355052,0,1,0,0.7261890476,0.7261890476,0.1369054762,0.8630945238,1467628.892,46611438.54,0.9994328484,0,0,0,0,0,0,0,0,0,0,1191,1,41.48116,37.52231
min_max_red:65539: 27-40,65539,8589220252,2.857180792,2.85722439,2.857580583,2.870220091,0.8499974441,0.1000022126,0.7499990461,0.0499995803,8196,1.122614353E-06,4294600293,0.5882357161,0,1,0,0.7261890476,0.7261890476,0.1369054762,0.8630945238,733581.0062,23124730.49,0.9988656964,0,0,0,0,0,0,0,0,0,0,595,1,11.387481,8.305175
3D_array_700: 17-28,700,1235388780,7.197260332,12.00573513,12.00584502,12.0097733,0.6110978489,0.1389815779,0.5833730301,0.3609390074,5,6.623012835E-09,377545280,0.500097447,0.0769230769,0.1538461538,0.0624779993,0.9375220007,1,0.0624779993,1,448.2271628,14341.65024,0.5994353564,0.1,0,0.3,0,0,0,0,0,0,0,6,1,41.464354,6.140795
3D_array_500: 17-28,500,450300560,7.196150568,12.00804086,12.00825628,12.0159583,0.6110925245,0.1390187079,0.5833889169,0.360870082,5,1.817023509E-08,137625200,0.5001364476,0.0769230769,0.1538461538,0.0624697492,0.9375302508,1,0.0624697492,1,448.3159289,14341.59389,0.5991800271,0.1,0,0.3,0,0,0,0,0,0,0,4,1,14.795951,2.28441
3D_array_300: 17-28,300,97308340,5.541754221,6.125755423,7.375125624,12.03546334,0.6110800575,0.1391054662,0.5834260044,0.3607090615,5,8.408563913E-08,18927121,0.3182998133,0.0769230769,0.1538461538,0.0624517471,0.9375482529,1,0.0624517471,1,448.5082128,14329.84589,0.4610874983,0.1,0,0.3,0,0,0,0,0,0,0,2,1,3.27867,0.508241
